"module_name","gate_counts","area_math","total_area","delay_math","total_delay","static_power_math","total_static_power"
"synchronous_block_ram","8 a211o_1, 17 a211oi_1, 4 a21boi_0, 8 a21o_1, 606 a21oi_1, 21 a221o_1, 96 a221oi_1, 9 a22o_1, 48 a22oi_1, 5 a2bb2oi_1, 5 a311o_1, 29 a311oi_1, 8 a31o_1, 104 a31oi_1, 8 a32o_1, 14 a32oi_1, 7 and2_0, 21 and3_1, 2 and3b_1, 93 clkinv_1, 16402 dfxtp_1, 16348 mux2_1, 385 mux2i_1, 3930 mux4_2, 700 nand2_1, 24 nand2b_1, 212 nand3_1, 1944 nor2_1, 30 nor2b_1, 19 nor3_1, 2 nor3b_1, 1 nor4_1, 14 o211a_1, 82 o211ai_1, 16 o21a_1, 1831 o21ai_0, 4 o21bai_1, 60 o221a_1, 661 o221ai_1, 5 o22a_1, 123 o22ai_1, 4 o2bb2ai_1, 13 o311a_1, 27 o311ai_0, 5 o31a_1, 18 o31ai_1, 4 o32a_1, 17 o32ai_1, 11 or2_0, 4 or3_1, 2 or3b_1","8*8.76 + 17*7.51 + 4*7.51 + 8*7.51 + 606*5.0 + 21*10.01 + 96*8.76 + 9*8.76 + 48*7.51 + 5*8.76 + 5*10.01 + 29*8.76 + 8*8.76 + 104*6.26 + 8*10.01 + 14*8.76 + 7*6.26 + 21*6.26 + 2*8.76 + 93*3.75 + 16402*20.02 + 16348*11.26 + 385*10.01 + 3930*22.52 + 700*3.75 + 24*6.26 + 212*5.0 + 1944*3.75 + 30*6.26 + 19*5.0 + 2*7.51 + 1*6.26 + 14*10.01 + 82*7.51 + 16*7.51 + 1831*5.0 + 4*7.51 + 60*11.26 + 661*8.76 + 5*8.76 + 123*6.26 + 4*8.76 + 13*10.01 + 27*8.76 + 5*8.76 + 18*7.51 + 4*10.01 + 17*8.76 + 11*6.26 + 4*6.26 + 2*8.76",641076.88,"146.26 + 88.29 + 0.08 + 0.48 + 3.02 + 0.06 + 0.78 + 0.13 + 0.58",239.68,"8*3.14 + 17*0.98 + 4*2.48 + 8*5.9 + 606*1.65 + 21*2.66 + 96*1.78 + 9*4.06 + 48*2.58 + 5*3.38 + 5*1.57 + 29*0.97 + 8*2.37 + 104*1.48 + 8*2.3 + 14*1.25 + 7*1.92 + 21*5.59 + 2*7.06 + 93*1.57 + 16402*8.44 + 16348*4.03 + 385*5.89 + 3930*6.37 + 700*2.12 + 24*2.25 + 212*1.03 + 1944*1.97 + 30*2.18 + 19*0.93 + 2*1.3 + 1*0.5 + 14*10.66 + 82*0.7 + 16*2.21 + 1831*1.04 + 4*2.87 + 60*2.73 + 661*1.09 + 5*2.76 + 123*1.31 + 4*1.85 + 13*3.77 + 27*0.64 + 5*2.07 + 18*1.7 + 4*1.66 + 17*1.09 + 11*1.26 + 4*1.28 + 2*2.59",242708.73
"pg_to_PG","8 a21oi_1, 8 nand2_1, 4 nor2_1, 4 o21ai_0","8*5.0 + 8*3.75 + 4*3.75 + 4*5.0",105.0,"0.1 + 0.05",0.15,"8*1.65 + 8*2.12 + 4*1.97 + 4*1.04",42.2
"shift_register","1 conb_1, 8 dfxtp_1, 6 mux2i_1, 9 nand2_1, 1 nand2b_1, 8 o21ai_0","1*3.75 + 8*20.02 + 6*10.01 + 9*3.75 + 1*6.26 + 8*5.0",303.98,"0.28 + 0.11 + 0.07",0.46,"1*3.24 + 8*8.44 + 6*5.89 + 9*2.12 + 1*2.25 + 8*1.04",135.75
"mig_7series_v4_0_fi_xor","72 dfxtp_1, 72 mux2i_1, 72 nor2_1, 72 xor2_1","72*20.02 + 72*10.01 + 72*3.75 + 72*8.76",3062.88,"0.29 + 0.11 + 0.04",0.44,"72*8.44 + 72*5.89 + 72*1.97 + 72*4.28",1481.76
"rotator","1 a21o_1, 2 a21oi_1, 57 a221o_1, 57 a221oi_1, 10 a22oi_1, 58 a2bb2oi_1, 12 a31oi_1, 1 a32oi_1, 30 and2_0, 30 clkinv_1, 100 dfxtp_1, 123 nand2_1, 1 nand2b_1, 2 nand3_1, 11 nor2_1, 1 nor2b_1, 58 nor3b_1, 58 o21a_1, 30 o21ai_0, 2 o22ai_1, 58 o31ai_1, 1 or2_0","1*7.51 + 2*5.0 + 57*10.01 + 57*8.76 + 10*7.51 + 58*8.76 + 12*6.26 + 1*8.76 + 30*6.26 + 30*3.75 + 100*20.02 + 123*3.75 + 1*6.26 + 2*5.0 + 11*3.75 + 1*6.26 + 58*7.51 + 58*7.51 + 30*5.0 + 2*6.26 + 58*7.51 + 1*6.26",6057.3,"4.36 + 0.49 + 0.31",5.16,"1*5.9 + 2*1.65 + 57*2.66 + 57*1.78 + 10*2.58 + 58*3.38 + 12*1.48 + 1*1.25 + 30*1.92 + 30*1.57 + 100*8.44 + 123*2.12 + 1*2.25 + 2*1.03 + 11*1.97 + 1*2.18 + 58*1.3 + 58*2.21 + 30*1.04 + 2*1.31 + 58*1.7 + 1*1.26",2078.01
"pipeline_control_idt_read","1 a211oi_1, 1 a21o_1, 13 a21oi_1, 1 a221o_1, 6 a22o_1, 1 a311oi_1, 5 a31oi_1, 8 and2_0, 4 and3_1, 14 clkinv_1, 2 conb_1, 21 dfrtp_1, 18 nand2_1, 3 nand2b_1, 3 nand3_1, 3 nand4_1, 30 nor2_1, 1 nor2b_1, 4 nor3_1, 5 nor4_1, 1 o2111ai_1, 1 o211ai_1, 3 o21a_1, 7 o21ai_0, 2 o22ai_1, 4 or2_0, 24 xnor2_1, 7 xor2_1","1*7.51 + 1*7.51 + 13*5.0 + 1*10.01 + 6*8.76 + 1*8.76 + 5*6.26 + 8*6.26 + 4*6.26 + 14*3.75 + 2*3.75 + 21*25.02 + 18*3.75 + 3*6.26 + 3*5.0 + 3*6.26 + 30*3.75 + 1*6.26 + 4*5.0 + 5*6.26 + 1*8.76 + 1*7.51 + 3*7.51 + 7*5.0 + 2*6.26 + 4*6.26 + 24*8.76 + 7*8.76",1516.23,"0.05 + 0.31 + 0.21 + 0.1 + 0.32 + 0.21 + 0.37 + 0.21 + 0.32 + 0.2 + 0.51 + 0.19 + 0.14",3.14,"1*0.98 + 1*5.9 + 13*1.65 + 1*2.66 + 6*4.06 + 1*0.97 + 5*1.48 + 8*1.92 + 4*5.59 + 14*1.57 + 2*3.24 + 21*11.65 + 18*2.12 + 3*2.25 + 3*1.03 + 3*0.53 + 30*1.97 + 1*2.18 + 4*0.93 + 5*0.5 + 1*0.58 + 1*0.7 + 3*2.21 + 7*1.04 + 2*1.31 + 4*1.26 + 24*2.07 + 7*4.28",594.13
"jt12_dac2","1 a2111oi_0, 1 a211oi_1, 4 a21o_1, 8 a21oi_1, 2 a311o_1, 1 a311oi_1, 1 a31oi_1, 8 and2_0, 2 and3_1, 7 clkinv_1, 34 dfxtp_1, 1 maj3_1, 24 nand2_1, 8 nand2b_1, 5 nand3_1, 31 nor2_1, 23 nor2b_1, 5 nor3_1, 1 nor3b_1, 2 o211ai_1, 1 o21a_1, 11 o21ai_0, 1 o21bai_1, 2 o311a_1, 1 o311ai_0, 1 o31ai_1, 4 or3_1, 25 xnor2_1, 1 xnor3_1, 10 xor2_1","1*8.76 + 1*7.51 + 4*7.51 + 8*5.0 + 2*10.01 + 1*8.76 + 1*6.26 + 8*6.26 + 2*6.26 + 7*3.75 + 34*20.02 + 1*10.01 + 24*3.75 + 8*6.26 + 5*5.0 + 31*3.75 + 23*6.26 + 5*5.0 + 1*7.51 + 2*7.51 + 1*7.51 + 11*5.0 + 1*7.51 + 2*10.01 + 1*8.76 + 1*7.51 + 4*6.26 + 25*8.76 + 1*22.52 + 10*8.76",1834.2,"0.31 + 0.2 + 0.4 + 0.25 + 0.16 + 0.33 + 0.33 + 0.44 + 0.28 + 0.22 + 0.09",3.01,"1*0.42 + 1*0.98 + 4*5.9 + 8*1.65 + 2*1.57 + 1*0.97 + 1*1.48 + 8*1.92 + 2*5.59 + 7*1.57 + 34*8.44 + 1*2.09 + 24*2.12 + 8*2.25 + 5*1.03 + 31*1.97 + 23*2.18 + 5*0.93 + 1*1.3 + 2*0.7 + 1*2.21 + 11*1.04 + 1*2.87 + 2*3.77 + 1*0.64 + 1*1.7 + 4*1.28 + 25*2.07 + 1*15.62 + 10*4.28",704.65
"mux_2to1","1 mux2_1","1*11.26",11.26,"0.26",0.26,"1*4.03",4.03
"top_module","4 clkinv_1, 4 dfxtp_1, 4 mux2i_1, 4 nor2b_1","4*3.75 + 4*20.02 + 4*10.01 + 4*6.26",160.16,"0.28 + 0.12 + 0.05",0.45,"4*1.57 + 4*8.44 + 4*5.89 + 4*2.18",72.32
"sky130_fd_sc_hdll__and4bb","1 nor4bb_1","1*10.01",10.01,"0.17",0.17,"1*3.2",3.2
"mi_nios_cpu_nios2_oci_td_mode","1 a21boi_0, 1 and2_0, 1 clkinv_1","1*7.51 + 1*6.26 + 1*3.75",17.52,"0.03 + 0.09",0.12,"1*2.48 + 1*1.92 + 1*1.57",5.97
"traffic_light_controller","1 a2111oi_0, 1 a211o_1, 11 a21oi_1, 2 a31oi_1, 2 and3_1, 1 and3b_1, 1 and4b_1, 1 clkinv_1, 17 dfxtp_1, 1 nand2_1, 3 nand2b_1, 2 nand4b_1, 4 nor2_1, 2 nor2b_1, 5 nor3_1, 1 nor3b_1, 2 nor4bb_1, 5 o21ai_0, 4 o21bai_1, 2 or2_0, 1 or3_1, 1 or4b_1","1*8.76 + 1*8.76 + 11*5.0 + 2*6.26 + 2*6.26 + 1*8.76 + 1*10.01 + 1*3.75 + 17*20.02 + 1*3.75 + 3*6.26 + 2*8.76 + 4*3.75 + 2*6.26 + 5*5.0 + 1*7.51 + 2*10.01 + 5*5.0 + 4*7.51 + 2*6.26 + 1*6.26 + 1*10.01",664.35,"0.33 + 0.52 + 0.12 + 0.3",1.27,"1*0.42 + 1*3.14 + 11*1.65 + 2*1.48 + 2*5.59 + 1*7.06 + 1*5.99 + 1*1.57 + 17*8.44 + 1*2.12 + 3*2.25 + 2*1.03 + 4*1.97 + 2*2.18 + 5*0.93 + 1*1.3 + 2*3.2 + 5*1.04 + 4*2.87 + 2*1.26 + 1*1.28 + 1*2.14",252.09
"top_module","32 dfxtp_1","32*20.02",640.64,"0.27",0.27,"32*8.44",270.08
"gated_clk","1 dfxtp_1","1*20.02",20.02,"0.26",0.26,"1*8.44",8.44
"shift_register","1 a22oi_1, 1 a31oi_1, 4 dfxtp_1, 2 mux2i_1, 3 nand2_1, 1 nand2b_1, 2 nand3b_1, 4 nor2_1, 3 nor3_1, 2 o211a_1, 1 or3_1","1*7.51 + 1*6.26 + 4*20.02 + 2*10.01 + 3*3.75 + 1*6.26 + 2*7.51 + 4*3.75 + 3*5.0 + 2*10.01 + 1*6.26",202.68,"0.31 + 0.07 + 0.19 + 0.14",0.71,"1*2.58 + 1*1.48 + 4*8.44 + 2*5.89 + 3*2.12 + 1*2.25 + 2*1.4 + 4*1.97 + 3*0.93 + 2*10.66 + 1*1.28",94.28
"sky130_fd_sc_ms__o21ai","1 nand2_1, 1 nand3_1, 1 nand4_1","1*3.75 + 1*5.0 + 1*6.26",15.01,"0.07 + 0.04",0.11,"1*2.12 + 1*1.03 + 1*0.53",3.68
"math_module","1 a211o_1, 5 a21boi_0, 1 a21o_1, 20 a21oi_1, 6 a22o_1, 10 a22oi_1, 1 a2bb2oi_1, 1 a31o_1, 5 a31oi_1, 1 a32o_1, 1 a32oi_1, 15 and2_0, 7 and3_1, 16 clkinv_1, 1 conb_1, 88 maj3_1, 190 nand2_1, 17 nand2b_1, 12 nand3_1, 1 nand3b_1, 4 nand4_1, 40 nor2_1, 29 nor2b_1, 1 o211a_1, 2 o211ai_1, 5 o21a_1, 20 o21ai_0, 3 o22a_1, 4 o22ai_1, 1 o31ai_1, 4 or2_0, 1 or3_1, 141 xnor2_1, 28 xnor3_1, 85 xor2_1, 19 xor3_1","1*8.76 + 5*7.51 + 1*7.51 + 20*5.0 + 6*8.76 + 10*7.51 + 1*8.76 + 1*8.76 + 5*6.26 + 1*10.01 + 1*8.76 + 15*6.26 + 7*6.26 + 16*3.75 + 1*3.75 + 88*10.01 + 190*3.75 + 17*6.26 + 12*5.0 + 1*7.51 + 4*6.26 + 40*3.75 + 29*6.26 + 1*10.01 + 2*7.51 + 5*7.51 + 20*5.0 + 3*8.76 + 4*6.26 + 1*7.51 + 4*6.26 + 1*6.26 + 141*8.76 + 28*22.52 + 85*8.76 + 19*23.77",5989.09,"0.06 + 0.43 + 0.38 + 0.39 + 0.19 + 0.39 + 0.36 + 0.26 + 0.07 + 0.1 + 0.09 + 0.39 + 0.4 + 0.27 + 0.04",3.82,"1*3.14 + 5*2.48 + 1*5.9 + 20*1.65 + 6*4.06 + 10*2.58 + 1*3.38 + 1*2.37 + 5*1.48 + 1*2.3 + 1*1.25 + 15*1.92 + 7*5.59 + 16*1.57 + 1*3.24 + 88*2.09 + 190*2.12 + 17*2.25 + 12*1.03 + 1*1.4 + 4*0.53 + 40*1.97 + 29*2.18 + 1*10.66 + 2*0.7 + 5*2.21 + 20*1.04 + 3*2.76 + 4*1.31 + 1*1.7 + 4*1.26 + 1*1.28 + 141*2.07 + 28*15.62 + 85*4.28 + 19*15.22",2448.12
"tv80_reg","14 a222oi_1, 43 a22oi_1, 17 and3_1, 3 and3b_1, 128 dfxtp_1, 160 mux2_1, 64 mux4_2, 7 nand3_1, 9 nand4_1, 1 nor3_1, 3 nor3b_1","14*10.01 + 43*7.51 + 17*6.26 + 3*8.76 + 128*20.02 + 160*11.26 + 64*22.52 + 7*5.0 + 9*6.26 + 1*5.0 + 3*7.51",6520.08,"1.0 + 0.46 + 0.34",1.8,"14*2.43 + 43*2.58 + 17*5.59 + 3*7.06 + 128*8.44 + 160*4.03 + 64*6.37 + 7*1.03 + 9*0.53 + 1*0.93 + 3*1.3",2410.78
"gpio_interface","1 dfxtp_1","1*20.02",20.02,"0.26",0.26,"1*8.44",8.44
"sky130_fd_sc_hdll__nor4b","1 nor4b_1","1*8.76",8.76,"0.19",0.19,"1*0.91",0.91
"umult8","1 a211oi_1, 1 a21boi_0, 8 a21oi_1, 5 a22oi_1, 2 a31oi_1, 1 a41o_1, 2 and2_0, 8 clkinv_1, 26 maj3_1, 68 nand2_1, 8 nand2b_1, 2 nand3_1, 3 nand4_1, 15 nor2_1, 12 nor2b_1, 2 nor3_1, 1 nor3b_1, 1 o21a_1, 5 o21ai_0, 1 o21ba_1, 1 o21bai_1, 2 o22ai_1, 1 o31ai_1, 38 xnor2_1, 12 xnor3_1, 23 xor2_1, 9 xor3_1","1*7.51 + 1*7.51 + 8*5.0 + 5*7.51 + 2*6.26 + 1*10.01 + 2*6.26 + 8*3.75 + 26*10.01 + 68*3.75 + 8*6.26 + 2*5.0 + 3*6.26 + 15*3.75 + 12*6.26 + 2*5.0 + 1*7.51 + 1*7.51 + 5*5.0 + 1*10.01 + 1*7.51 + 2*6.26 + 1*7.51 + 38*8.76 + 12*22.52 + 23*8.76 + 9*23.77",1989.21,"0.06 + 0.42 + 0.39 + 0.18 + 0.27 + 0.18 + 0.36 + 0.3 + 0.15 + 0.3 + 0.14 + 0.27 + 0.13 + 0.16",3.31,"1*0.98 + 1*2.48 + 8*1.65 + 5*2.58 + 2*1.48 + 1*6.61 + 2*1.92 + 8*1.57 + 26*2.09 + 68*2.12 + 8*2.25 + 2*1.03 + 3*0.53 + 15*1.97 + 12*2.18 + 2*0.93 + 1*1.3 + 1*2.21 + 5*1.04 + 1*7.27 + 1*2.87 + 2*1.31 + 1*1.7 + 38*2.07 + 12*15.62 + 23*4.28 + 9*15.22",857.94
"k580wm80a","6 a2111oi_0, 4 a211o_1, 18 a211oi_1, 6 a21boi_0, 17 a21o_1, 247 a21oi_1, 4 a221o_1, 19 a221oi_1, 24 a222oi_1, 7 a22o_1, 19 a22oi_1, 2 a311o_1, 4 a311oi_1, 2 a31o_1, 41 a31oi_1, 4 a32o_1, 9 a32oi_1, 2 a41o_1, 7 a41oi_1, 24 and2_0, 24 and3_1, 2 and4_1, 139 clkinv_1, 78 dfrtp_1, 2 dfstp_2, 103 dfxtp_1, 7 maj3_1, 36 mux2_1, 28 mux2i_1, 8 mux4_2, 323 nand2_1, 41 nand2b_1, 59 nand3_1, 3 nand3b_1, 20 nand4_1, 2 nand4b_1, 267 nor2_1, 33 nor2b_1, 43 nor3_1, 1 nor3b_1, 15 nor4_1, 1 nor4b_1, 5 o2111ai_1, 20 o211ai_1, 10 o21a_1, 218 o21ai_0, 1 o21bai_1, 1 o221a_1, 14 o221ai_1, 5 o22a_1, 32 o22ai_1, 1 o2bb2ai_1, 2 o311a_1, 4 o311ai_0, 1 o31a_1, 29 o31ai_1, 6 o32a_1, 1 o32ai_1, 5 o41ai_1, 23 or2_0, 8 or3_1, 7 or4_1, 68 xnor2_1, 1 xnor3_1, 43 xor2_1","6*8.76 + 4*8.76 + 18*7.51 + 6*7.51 + 17*7.51 + 247*5.0 + 4*10.01 + 19*8.76 + 24*10.01 + 7*8.76 + 19*7.51 + 2*10.01 + 4*8.76 + 2*8.76 + 41*6.26 + 4*10.01 + 9*8.76 + 2*10.01 + 7*8.76 + 24*6.26 + 24*6.26 + 2*8.76 + 139*3.75 + 78*25.02 + 2*26.28 + 103*20.02 + 7*10.01 + 36*11.26 + 28*10.01 + 8*22.52 + 323*3.75 + 41*6.26 + 59*5.0 + 3*7.51 + 20*6.26 + 2*8.76 + 267*3.75 + 33*6.26 + 43*5.0 + 1*7.51 + 15*6.26 + 1*8.76 + 5*8.76 + 20*7.51 + 10*7.51 + 218*5.0 + 1*7.51 + 1*11.26 + 14*8.76 + 5*8.76 + 32*6.26 + 1*8.76 + 2*10.01 + 4*8.76 + 1*8.76 + 29*7.51 + 6*10.01 + 1*8.76 + 5*8.76 + 23*6.26 + 8*6.26 + 7*7.51 + 68*8.76 + 1*22.52 + 43*8.76",15502.29,"0.78 + 0.33 + 0.23 + 3.09 + 0.59 + 0.54 + 1.17 + 0.21 + 0.43",7.37,"6*0.42 + 4*3.14 + 18*0.98 + 6*2.48 + 17*5.9 + 247*1.65 + 4*2.66 + 19*1.78 + 24*2.43 + 7*4.06 + 19*2.58 + 2*1.57 + 4*0.97 + 2*2.37 + 41*1.48 + 4*2.3 + 9*1.25 + 2*6.61 + 7*1.36 + 24*1.92 + 24*5.59 + 2*3.4 + 139*1.57 + 78*11.65 + 2*10.52 + 103*8.44 + 7*2.09 + 36*4.03 + 28*5.89 + 8*6.37 + 323*2.12 + 41*2.25 + 59*1.03 + 3*1.4 + 20*0.53 + 2*1.03 + 267*1.97 + 33*2.18 + 43*0.93 + 1*1.3 + 15*0.5 + 1*0.91 + 5*0.58 + 20*0.7 + 10*2.21 + 218*1.04 + 1*2.87 + 1*2.73 + 14*1.09 + 5*2.76 + 32*1.31 + 1*1.85 + 2*3.77 + 4*0.64 + 1*2.07 + 29*1.7 + 6*1.66 + 1*1.09 + 5*1.39 + 23*1.26 + 8*1.28 + 7*0.85 + 68*2.07 + 1*15.62 + 43*4.28",5742.7
"alu","2 a2111oi_0, 10 a211o_1, 43 a211oi_1, 3 a21boi_0, 12 a21o_1, 389 a21oi_1, 4 a221o_1, 16 a221oi_1, 20 a22o_1, 23 a22oi_1, 1 a2bb2oi_1, 2 a311o_1, 6 a311oi_1, 2 a31o_1, 21 a31oi_1, 17 a32o_1, 1 a32oi_1, 36 and2_0, 4 and3_1, 1 and3b_1, 71 clkinv_1, 11 maj3_1, 45 mux2_1, 88 mux2i_1, 5 mux4_2, 329 nand2_1, 44 nand2b_1, 26 nand3_1, 1 nand3b_1, 5 nand4_1, 2 nand4b_1, 1 nand4bb_1, 258 nor2_1, 52 nor2b_1, 32 nor3_1, 3 nor3b_1, 14 nor4_1, 2 nor4b_1, 1 nor4bb_1, 2 o2111ai_1, 1 o211a_1, 13 o211ai_1, 11 o21a_1, 281 o21ai_0, 2 o21ba_1, 3 o21bai_1, 3 o221ai_1, 14 o22ai_1, 6 o2bb2ai_1, 2 o311a_1, 11 o311ai_0, 1 o31a_1, 5 o31ai_1, 1 o32a_1, 4 o32ai_1, 1 o41ai_1, 26 or2_0, 16 or3_1, 9 or4_1, 1 or4b_1, 43 xnor2_1, 1 xnor3_1, 90 xor2_1","2*8.76 + 10*8.76 + 43*7.51 + 3*7.51 + 12*7.51 + 389*5.0 + 4*10.01 + 16*8.76 + 20*8.76 + 23*7.51 + 1*8.76 + 2*10.01 + 6*8.76 + 2*8.76 + 21*6.26 + 17*10.01 + 1*8.76 + 36*6.26 + 4*6.26 + 1*8.76 + 71*3.75 + 11*10.01 + 45*11.26 + 88*10.01 + 5*22.52 + 329*3.75 + 44*6.26 + 26*5.0 + 1*7.51 + 5*6.26 + 2*8.76 + 1*11.26 + 258*3.75 + 52*6.26 + 32*5.0 + 3*7.51 + 14*6.26 + 2*8.76 + 1*10.01 + 2*8.76 + 1*10.01 + 13*7.51 + 11*7.51 + 281*5.0 + 2*10.01 + 3*7.51 + 3*8.76 + 14*6.26 + 6*8.76 + 2*10.01 + 11*8.76 + 1*8.76 + 5*7.51 + 1*10.01 + 4*8.76 + 1*8.76 + 26*6.26 + 16*6.26 + 9*7.51 + 1*10.01 + 43*8.76 + 1*22.52 + 90*8.76",12422.7,"0.38 + 0.23 + 0.22 + 0.2 + 0.22 + 0.13 + 0.16 + 0.12 + 0.3 + 0.43 + 0.26 + 0.1 + 0.44 + 0.18 + 0.45 + 0.18 + 0.45 + 0.19 + 0.33 + 0.33 + 0.17 + 0.32 + 0.17 + 0.29 + 0.14 + 0.31 + 0.15 + 0.22 + 0.11 + 0.19 + 0.23 + 0.33 + 0.14",8.07,"2*0.42 + 10*3.14 + 43*0.98 + 3*2.48 + 12*5.9 + 389*1.65 + 4*2.66 + 16*1.78 + 20*4.06 + 23*2.58 + 1*3.38 + 2*1.57 + 6*0.97 + 2*2.37 + 21*1.48 + 17*2.3 + 1*1.25 + 36*1.92 + 4*5.59 + 1*7.06 + 71*1.57 + 11*2.09 + 45*4.03 + 88*5.89 + 5*6.37 + 329*2.12 + 44*2.25 + 26*1.03 + 1*1.4 + 5*0.53 + 2*1.03 + 1*1.9 + 258*1.97 + 52*2.18 + 32*0.93 + 3*1.3 + 14*0.5 + 2*0.91 + 1*3.2 + 2*0.58 + 1*10.66 + 13*0.7 + 11*2.21 + 281*1.04 + 2*7.27 + 3*2.87 + 3*1.09 + 14*1.31 + 6*1.85 + 2*3.77 + 11*0.64 + 1*2.07 + 5*1.7 + 1*1.66 + 4*1.09 + 1*1.39 + 26*1.26 + 16*1.28 + 9*0.85 + 1*2.14 + 43*2.07 + 1*15.62 + 90*4.28",4504.48
"simple_pic","1 a211oi_1, 1 a21boi_0, 7 a21oi_1, 1 a311oi_1, 3 a31oi_1, 1 a41oi_1, 1 and4b_1, 8 clkinv_1, 20 dfxtp_1, 4 nand2_1, 3 nand2b_1, 3 nand3_1, 2 nand3b_1, 1 nand4_1, 1 nand4b_1, 21 nor2_1, 1 nor3_1, 2 nor4_1, 1 o21a_1, 6 o21ai_0, 1 o21ba_1, 1 o22ai_1, 2 o31ai_1, 1 or2_0, 1 or4_1, 1 xor2_1","1*7.51 + 1*7.51 + 7*5.0 + 1*8.76 + 3*6.26 + 1*8.76 + 1*10.01 + 8*3.75 + 20*20.02 + 4*3.75 + 3*6.26 + 3*5.0 + 2*7.51 + 1*6.26 + 1*8.76 + 21*3.75 + 1*5.0 + 2*6.26 + 1*7.51 + 6*5.0 + 1*10.01 + 1*6.26 + 2*7.51 + 1*6.26 + 1*7.51 + 1*8.76",793.15,"0.31 + 0.59 + 0.18 + 0.17 + 0.32 + 0.16 + 0.13",1.86,"1*0.98 + 1*2.48 + 7*1.65 + 1*0.97 + 3*1.48 + 1*1.36 + 1*5.99 + 8*1.57 + 20*8.44 + 4*2.12 + 3*2.25 + 3*1.03 + 2*1.4 + 1*0.53 + 1*1.03 + 21*1.97 + 1*0.93 + 2*0.5 + 1*2.21 + 6*1.04 + 1*7.27 + 1*1.31 + 2*1.7 + 1*1.26 + 1*0.85 + 1*4.28",301.93
"b2d","2 a21oi_1, 3 a22oi_1, 8 a31oi_1, 1 a32oi_1, 2 clkinv_1, 10 nand2_1, 2 nand2b_1, 3 nand3_1, 4 nand3b_1, 8 nor2_1, 9 nor2b_1, 8 nor3_1, 7 o21ai_0, 1 o22ai_1, 1 o311ai_0, 1 or2_0, 2 or4b_1","2*5.0 + 3*7.51 + 8*6.26 + 1*8.76 + 2*3.75 + 10*3.75 + 2*6.26 + 3*5.0 + 4*7.51 + 8*3.75 + 9*6.26 + 8*5.0 + 7*5.0 + 1*6.26 + 1*8.76 + 1*6.26 + 2*10.01",396.57,"0.46",0.46,"2*1.65 + 3*2.58 + 8*1.48 + 1*1.25 + 2*1.57 + 10*2.12 + 2*2.25 + 3*1.03 + 4*1.4 + 8*1.97 + 9*2.18 + 8*0.93 + 7*1.04 + 1*1.31 + 1*0.64 + 1*1.26 + 2*2.14",119.25
"vid_timer16","1 a2111oi_0, 1 a211oi_1, 1 a21boi_0, 2 a21o_1, 32 a21oi_1, 1 a22oi_1, 4 a311oi_1, 2 a31o_1, 5 a31oi_1, 2 a32oi_1, 15 and2_0, 9 and3_1, 1 and3b_1, 7 and4_1, 2 and4b_1, 7 clkinv_1, 73 dfxtp_1, 24 nand2_1, 1 nand2b_1, 10 nand3_1, 1 nand3b_1, 10 nand4_1, 40 nor2_1, 2 nor2b_1, 26 nor3_1, 6 nor3b_1, 10 nor4_1, 4 nor4b_1, 2 nor4bb_1, 2 o211ai_1, 4 o21a_1, 15 o21ai_0, 1 o21bai_1, 3 o31ai_1, 1 o32ai_1, 1 or2_0, 2 or3_1, 2 or4_1, 9 xnor2_1, 5 xor2_1","1*8.76 + 1*7.51 + 1*7.51 + 2*7.51 + 32*5.0 + 1*7.51 + 4*8.76 + 2*8.76 + 5*6.26 + 2*8.76 + 15*6.26 + 9*6.26 + 1*8.76 + 7*8.76 + 2*10.01 + 7*3.75 + 73*20.02 + 24*3.75 + 1*6.26 + 10*5.0 + 1*7.51 + 10*6.26 + 40*3.75 + 2*6.26 + 26*5.0 + 6*7.51 + 10*6.26 + 4*8.76 + 2*10.01 + 2*7.51 + 4*7.51 + 15*5.0 + 1*7.51 + 3*7.51 + 1*8.76 + 1*6.26 + 2*6.26 + 2*7.51 + 9*8.76 + 5*8.76",3022.65,"0.3 + 0.6 + 0.3 + 0.37 + 0.1 + 0.16 + 0.12",1.95,"1*0.42 + 1*0.98 + 1*2.48 + 2*5.9 + 32*1.65 + 1*2.58 + 4*0.97 + 2*2.37 + 5*1.48 + 2*1.25 + 15*1.92 + 9*5.59 + 1*7.06 + 7*3.4 + 2*5.99 + 7*1.57 + 73*8.44 + 24*2.12 + 1*2.25 + 10*1.03 + 1*1.4 + 10*0.53 + 40*1.97 + 2*2.18 + 26*0.93 + 6*1.3 + 10*0.5 + 4*0.91 + 2*3.2 + 2*0.7 + 4*2.21 + 15*1.04 + 1*2.87 + 3*1.7 + 1*1.09 + 1*1.26 + 2*1.28 + 2*0.85 + 9*2.07 + 5*4.28",1119.4
"Final_Result_IEEE","32 clkinv_1, 96 dfxtp_1, 64 mux2_1, 32 mux2i_1, 33 nand2_1, 1 nor2b_1, 32 o21ai_0","32*3.75 + 96*20.02 + 64*11.26 + 32*10.01 + 33*3.75 + 1*6.26 + 32*5.0",3372.89,"1.5 + 0.39",1.89,"32*1.57 + 96*8.44 + 64*4.03 + 32*5.89 + 33*2.12 + 1*2.18 + 32*1.04",1412.3
"mux_2to1","1 mux2_1","1*11.26",11.26,"0.26",0.26,"1*4.03",4.03
